677,428
680,428
687,428
691,428
695,428
699,429
703,429
708,429
710,429
710,430
711,430
712,431
717,433
736,437
779,443
832,444
902,450
929,466
942,502
926,541
858,607
751,669
645,705
573,711
530,704
481,672
423,602
391,519
388,458
415,388
466,355
563,345
671,357
757,394
817,443
850,483
861,503
863,509
860,500
855,485
849,462
842,435
837,392
832,364
823,340
813,325
803,319
795,317
792,318
903,400
919,395
929,388
932,383
932,379
931,377
929,375
927,374
926,374
