351.445,906.669
1612.44,143.141
509.59,709.871
267.07,145.58
160.488,163.74
1032.71,116.279
410.801,1019.09
1195.14,478.531
1014.02,838.378
1132.73,832.577
1867.97,863.921
993.457,838.575
466.113,193.898
1275.35,991.868
1442.52,870.414
890.801,84.6057
1550.1,422.897
694.453,726.976
773.672,790.917
295.371,282.458
995.625,450.088
1892.17,190.305
676.055,824.601
1272.66,229.164
726.328,290.402
836.543,975.718
1236.74,372.832
1742.58,452
397.383,681.855
438.926,655.06
233.32,709.739
437.402,242.842
1692.95,153.556
1231.58,949.977
1390.9,767.681
178.711,767.351
